,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5
6018,"**WEB AND UX/UI DESIGNER**

**PROFESSIONAL EXPERIENCE**

**Children's Music School Website Redesign**
- Analyzed existing website to identify strengths and weaknesses
- Created wireframes for new landing page with news block and prominent call to action
- Developed visual design with consistent color scheme and typography aligned to brand identity
- Implemented responsive design principles for optimal display across all devices
- Optimized user experience through intuitive navigation and information accessibility

**Pet-Saver-Hub – Web Service for Lost and Found Animals**
- Conducted user research to identify pain points in pet search process
- Developed user flows and wireframes for intuitive website navigation
- Designed user-friendly interface for searching lost or found pets
- Integrated interactive map feature for location-based pet discovery

**CORE COMPETENCIES**

- Wireframing and prototyping
- Visual design and brand consistency
- User research and pain point analysis
- UX/UI design and user flow development
- Responsive design
- Interactive design elements
- Information architecture
- User experience optimization

**PROFESSIONAL ATTRIBUTES**

- Strong attention to detail in design execution
- Commitment to high-quality deliverables
- User-focused approach with emphasis on feedback collection
- Effective communication and collaboration skills
- Dedication to staying current with design technologies and trends
- Creative problem-solving abilities"
6021,"# DESIGN PROFESSIONAL

## PORTFOLIO
Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network

## EXPERIENCE

**Facility, Kiev — Head of Design Department**
Mar 2018 - Present

Leading design team operations and optimizing design workflows across diverse project types. Developing comprehensive concepts for websites, brands, and digital products while creating UI/UX designs, animations, logo systems, brand guidelines, and brandbooks. Directing tender presentations and spearheading offline company initiatives.

- Published design insights and case studies on medium.com, mmr.ua, cases.media, and vc.ru
- Serving as judge for CSSDA and Ukraine Creative Week; advancing candidacy for awwwards judge panel
- Delivering educational lectures at Underhub co-working

**Kiev Smart City, Kiev**

Developed comprehensive concept and product visualization for Kiev Smart Card. Conceptualized dynamic city advertising campaigns.

**Mastercard, Kiev**

Created illustrations and limited edition products for 2018 UEFA Champions League Final in Kiev. Designed brand activation concepts for Ukraine Independence Day 2018.

**Stampede Games, Kiev**

Developed mobile games including visual concepts and UI design. Created concept art for game sequels. Featured chart-topping games including Evo Explores and .projekt."
6026,"# PROFESSIONAL SUMMARY

Design Professional with 12+ years of experience creating user-centered solutions across diverse industries and markets. Proven track record of delivering 300+ projects including 30+ products, 30+ mobile applications, 80+ websites, and 100+ brand identities. Skilled in translating complex requirements into intuitive, high-impact designs. Master's degree in Engineering Design with current MBA studies.

# CORE COMPETENCIES

UI/UX Design | Brand Design | Product Design | Mobile Applications | Web Design | Logo Design | Corporate Identity | Design Management | Team Leadership | Frontend Development (HTML5, CSS3, TypeScript, Vue.js) | Backend Development (Python, Swift)

# PROFESSIONAL EXPERIENCE

**UX Designer** | Bank BVR | 2021–Present
Design user-centered solutions for financial applications and platforms.

**Lead Product Designer** | Innovation Box | 2020–2021
Led design strategy and execution for multiple product initiatives.

**UI/UX Design Teacher** | Hillel IT School | 2020–Present
Instruct and mentor students in UI/UX design principles and practices.

**UI/UX & Brand Designer** | Ardas | 2019–2020
Designed comprehensive brand identities and user interface solutions.

**UI/UX & Brand Designer** | M2E pro | 2017–2019
Developed UI/UX and brand design across multiple client projects.

**UI/UX & Brand Designer** | Forforce | 2016–2017
Created user interface and brand design solutions for client needs.

**UI/UX & Brand Designer** | Art. Lebedev Studio | 2015–2016
Contributed to design projects for established design studio.

**CEO & Designer** | Own Design Studio | 2014–2015
Managed and designed for independent design practice.

**UI/UX & Brand Designer** | Poster | 2013–2014
Designed user interfaces and brand identities for various clients.

**UI/UX & Brand Designer** | le Weekend | 2012–2013
Developed UI/UX and brand design solutions.

**UI/UX & Brand Designer** | November Design Bureau | 2011–2012
Created design solutions across multiple projects.

**Graphic Designer** | Freelance | 2006–2011
Provided design services across diverse client requirements.

# EDUCATION

Master's Degree in Engineering Design

MBA (in progress)

# INDUSTRY EXPERTISE

eCommerce, Finance, Banking, Investments, Marketing, Social Media, Education, Development, NFT, Art, Automotive, Gaming, Construction, Agriculture, Food & Beverage, Fashion, Beauty, Service, Music, Dance, Sports, Medical, Space, Insurance

# INTERNATIONAL EXPERIENCE

USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, Ukraine"
9479,"# GRAPHIC DESIGNER & UI/UX DESIGNER

## PROFESSIONAL SUMMARY

Graphic designer and UI/UX designer with expertise in visual identity design, digital and print materials, and user experience design. Proficient in Adobe Creative Suite and Figma with experience in 3D design. Proven ability to lead design initiatives and manage creative teams.

## CORE COMPETENCIES

**Software:** Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Figma, Blender, After Effects

**Design Expertise:** Logo and brand identity design, UI/UX design, key visual design, social media design, print materials, digital advertising, 3D design, product visualization, catalog and brochure design, outdoor advertising

## PROFESSIONAL EXPERIENCE

**Graphic Designer & UI/UX Designer | QA Madness**
*November 2022 – Present*
- Led company's global redesign initiative, influencing final visual direction across all brand materials
- Redesigned company website to reflect new brand vision and style
- Developed and implemented fresh visual style for presentations
- Redesigned all social media materials across LinkedIn and Instagram platforms
- Created branding materials for DOU platform
- Integrated custom 3D elements into design projects

**Graphic Designer | Kronas**
*August 2020 – February 2022*
- Designed logos, brand identities, and associated printing materials for new company brands
- Produced 3–6 advertising key visuals monthly for website, social networks, and print
- Implemented new visual identity for Instagram profile redesign
- Created multi-page product catalogs and brochures in InDesign
- Designed and updated YouTube channel branding and video covers
- Developed custom sticker pack for Telegram and Viber platforms
- Designed branding elements and navigation systems for new trade hall

**Graphic Designer | Design Studio ToTop**
*October 2019 – August 2020*
- Designed visual solutions for clients across multiple industries
- Created logos and comprehensive brand identities
- Designed outdoor advertising materials including billboards, citylights, and vehicle branding
- Produced realistic product visualizations in Photoshop
- Designed diverse print materials including calendars, business cards, postcards, and stickers
- Developed multi-page catalogs and brochures
- Completed full 16-page brochure design, client approval, and print production in one business day

## ADDITIONAL EXPERIENCE

Graphic Designer, Lead Graphic Designer, Prepress Operator, DTP Designer

## EDUCATION

UI/UX Course | Beetroot Academy"
16980,"**Depositphotos | Content Researcher**

Researched and created content including collections and PowerPoint presentations for clients for advertisements, email distribution, and website publishing. Collaborated closely with content managers to analyze development and performance metrics. Organized advertising campaigns for high-profile clients including Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy. Actively utilized Jira and CRM systems for project management. Managed localized content while ensuring alignment with brand voice and product style guidelines.

**Depositphotos | Contributor Relations Manager**

Researched and identified potential photographers across EMEA and North America regions. Collaborated with contributors to develop and enhance their portfolios on cloud-based services. Organized and led comprehensive training seminars for new employees.

**Teacher of English Language**

Mentored students with diverse learning needs, including those with physical and psychological requirements. Developed personalized teaching techniques and customized lectures tailored to each student's individual capabilities. Restructured educational processes and curriculum to accommodate and support each student's unique needs. Built meaningful personal connections with students that fostered their engagement with new material and facilitated significant progress through the curriculum.

**Liberty Power | Door-to-Door Sales Agent**

Traveled to various neighborhoods to merchandise and promote products and services to the public. Created compelling product presentations highlighting key features and competitive advantages. Persuaded clients to purchase products using established sales scripts and successfully facilitated agreements between clients and Liberty Power."
17014,"English Philologist | Editor | Translator | Content Specialist

PROFESSIONAL SUMMARY
Dedicated language professional with 4 years of academic training in English philology. Strong foundation in textual analysis, writing, and translation with demonstrated expertise in content creation and digital communication. Passionate about technology and social media platforms with proven ability to identify trends and draw creative inspiration from digital sources. Motivated professional eager to apply linguistic skills and technical interest to launch a career in IT.

CORE COMPETENCIES
Text Editing & Proofreading | Writing & Composition | Translation | Social Media Analysis | Content Research | Digital Platform Navigation | Technical Learning Aptitude

PROFESSIONAL ATTRIBUTES
Detail-oriented and highly motivated with strong work ethic and commitment to professional growth. Demonstrates ability to synthesize information from multiple digital sources and apply creative problem-solving approaches. Eager to learn and develop new skills.

EDUCATION
English Philology — 4 years of specialized study"
18230,"# Creative & Art Director | Graphic & UI/UX Designer

**Professional Summary**

Creative/Art Director and Graphic/UI/UX Designer with 10+ years of experience in Branding, Marketing, Advertising, Graphic Design, Web Design, and Mobile App Design. Proven track record of developing unique, innovative solutions for international clients across multiple continents.

**Core Competencies**

Brand Development & Strategy | Art Direction | Graphic Design | UI/UX Design | Web Design | Mobile App Design | Marketing & Advertising

**Professional Experience**

Developed 20+ successful brand identities for diverse clientele

Collaborated with international clients across USA, Canada, Australia, New Zealand, Austria, and Finland

Delivered innovative design solutions that drive measurable business growth

**Professional Values**

Mutual respect | Honesty | Decency | Punctuality"
18348,"# PROFESSIONAL DESIGNER

## PROFESSIONAL OBJECTIVE
Seeking a position with a strong team to apply 6+ years of commercial design experience and artistic expertise to create engaging projects and contemporary design solutions.

## SUMMARY
Accomplished website, mobile, and graphic designer with 6+ years of commercial experience across multiple agencies. Demonstrated success in delivering 100+ website designs, brand identities, and advertising campaigns. Specialized in UX prototyping, UI design, and motion design for desktop and mobile applications.

## CORE COMPETENCIES

**Design & UX:**
• User personas and user flow development
• Wireframing and interactive prototyping
• Atomic design principles
• Web design (responsive and adaptive)
• Mobile design (iOS and Android)
• Graphic design (printed products, banners, illustrations, icons)

**Technical Skills:**
• Motion design
• HTML and CSS fundamentals

## TECHNICAL PROFICIENCY

**Advanced:**
• Figma (team libraries, auto layout, component properties, branches)
• Adobe Photoshop
• Adobe Illustrator

**Intermediate:**
• Adobe After Effects"
26715,"# PROFESSIONAL SUMMARY

Accomplished creative technologist with 20 years of expertise in web design, UI/UX, 3D graphics, animation, and product development. Proven leader with demonstrated success in establishing and scaling creative organizations, directing cross-functional teams, and delivering comprehensive game development projects.

# PROFESSIONAL EXPERIENCE

**Chief Technology Officer & Tech Lead**
Outsource Studio (Founder)
- Established and grew creative studio from inception to 25 office-based developers and 20+ freelance professionals
- Directed art and design teams across multiple projects
- Led creative and technical initiatives driving studio growth and innovation

**Co-Owner**
Mobile Game Studio
- Oversaw full cycle game development including concept development, UI/UX design, animation, and VFX in Unity
- Managed communication and audio post-production
- Led cross-functional creative and technical teams

# CORE COMPETENCIES

- Web Design & Development
- UI/UX Design
- 3D Graphics & Animation
- Product Creation & Development
- Team Leadership & Management
- Game Development
- VFX (Unity)

# OBJECTIVE

Seeking creative technology leadership roles that leverage expertise in team building, product development, and creative direction to drive innovation and organizational growth."
26747,"# Design Professional

## Awards & Recognition
• 8 Design Awards on Behance
• Honorable mention in San Francisco Design Week
• Ukrainian Design - The Very Best of

## Professional Experience

**6+ years of commercial design experience** across startups, fintech, organization management, crypto, insurance, and healthcare sectors. Expertise in Web, Mobile, Dashboard, and Web applications.

### Core Competencies
• User research and hypothesis generation
• Wireframing and prototyping
• Usability testing and analysis
• Design system creation and implementation
• Team leadership and design management

### Project Execution
• Stakeholder and product manager communication
• Research and discovery
• Functionality mapping and process flow documentation
• Low and high-fidelity wireframing
• UI research and design
• Led design teams of up to 8 people

### Leadership & Collaboration
• Mentorship of junior designers
• One-on-one meetings for performance feedback and professional development
• Cross-functional team feedback and support

### Notable Projects
• Digital home loan product (Australia-based): Led MVP development from ideation through execution within a 3-person team over 1 year
• Design system creation from scratch within a 3-person team, establishing foundational design standards and component libraries"
