,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5
6018,"# Web & UX/UI Designer

## Professional Experience

### Web Designer | Children's Music School Website Redesign

- Analyzed existing website architecture to identify usability strengths and areas for improvement
- Designed comprehensive wireframes for landing page featuring news integration and strategic calls to action
- Developed visually cohesive design prioritizing intuitive user experience and streamlined navigation
- Aligned color palette and typography with established brand identity guidelines
- Applied responsive design principles ensuring optimal functionality across all devices
- Delivered polished landing page maximizing information accessibility and visual appeal

### UX/UI Designer | Pet-Saver-Hub

- Created intuitive interface for web service reuniting lost pets with their owners
- Conducted user research identifying critical pain points in the pet recovery journey
- Developed comprehensive user flows and wireframes supporting seamless navigation
- Integrated interactive mapping functionality enabling location-based search for lost and found pets
- Designed robust search interface streamlining the lost and found pet matching process

## Skills

- Wireframing & Prototyping
- Visual Design
- User Research & Analysis
- Responsive Web Design
- User Flow Development
- Interactive Design
- Brand Identity Implementation
- UX/UI Design

## Professional Goals

- Advance UI/UX expertise through impactful, user-centered projects
- Collaborate with industry professionals to deepen knowledge and skill set
- Contribute to complex projects that challenge and expand creative capabilities
- Maintain proficiency in emerging design technologies and methodologies
- Integrate user feedback to drive continuous experience improvements
- Deliver high-quality design work through meticulous attention to detail
- Foster effective communication and collaboration to achieve project objectives"
6021,"**PROFESSIONAL SUMMARY**

Visual designer and creative leader with demonstrated experience across 50+ websites, 30+ brand identities, 4 mobile apps, 3 games, and 1 social network. Combines strategic design thinking with hands-on execution in UI/UX, branding, and digital product development.

---

**PROFESSIONAL EXPERIENCE**

**Head of Design Department**
Facility — Kyiv | March 2018 – Present

Lead and optimize design team operations across multiple concurrent project types. Drive end-to-end creative development for websites, brands, and digital products, including UI/UX design, motion graphics, logo systems, brand guidelines, and comprehensive brand books. Spearhead tender presentations and offline company initiatives.

- Published thought leadership on Medium, MMR.ua, Cases.media, and VC.ru
- Served as competition judge for CSS Design Awards and Ukraine Creative Week
- Delivered educational lectures at Underhub co-working space

**Visual Designer**
Kyiv Smart City — Kyiv

Conceptualized and visualized the Kyiv Smart Card product from concept through final execution. Designed dynamic city advertisement concepts.

**Visual Designer**
Mastercard — Kyiv

Created illustrations and limited edition product designs for the 2018 UEFA Champions League Final in Kyiv. Developed brand activation program concept for Ukraine Independence Day 2018.

**Game Artist & UI Designer**
Stampede Games — Kyiv

Developed visual concepts, user interface designs, and concept art for mobile games, including top-charting titles:
- *Evo Explores*
- *.projekt*"
6026,"# PROFESSIONAL SUMMARY

Design leader with 12+ years of experience delivering 300+ projects across product design, mobile applications, websites, and brand identity. Former CEO of a 20-person design studio. Currently pursuing MBA. Master's degree in Engineering Design.

# CORE COMPETENCIES

**Product Design** — 30+ products developed from scratch
**Mobile Applications** — 30+ apps designed
**Web Design** — 80+ websites delivered
**Brand Identity** — 100+ logos and corporate styles created
**Team Leadership** — Founded and managed 20-person design studio
**Education** — Taught 150+ students in UI/UX and brand design
**Public Speaking** — Presented at Dribbble and other industry conferences
**Technical Skills** — HTML5, CSS3, TypeScript, Vue.js, Python, Swift

# PROFESSIONAL EXPERIENCE

**Confidential (NDA)** — 2022
Design role under non-disclosure agreement

**Bank BVR** — 2021
UX Designer

**Innovation Box** — 2020
Lead Product Designer

**Hillel IT School** — 2020
UI/UX Design Teacher

**Ardas** — 2019
UI/UX & Brand Designer

**M2E Pro** — 2017
UI/UX & Brand Designer

**Forforce** — 2016
UI/UX & Brand Designer

**Art. Lebedev Studio** — 2015
UI/UX & Brand Designer

**Own Design Studio** — 2014
CEO & Designer

**Poster** — 2013
UI/UX & Brand Designer

**le Weekend** — 2012
UI/UX & Brand Designer

**November Design Bureau** — 2011
UI/UX & Brand Designer

**Freelance** — 2006
Graphic Designer

# EDUCATION

**MBA** — In Progress
**Master's Degree** — Engineering Design
**Drawing School** — 1999

# INDUSTRY EXPERTISE

eCommerce · Finance · Banking · Investments · Marketing · Social Media · Law · Education · Development · NFT · Art · Automotive · Gaming · Construction · Agriculture · Food & Beverage · Fashion · Beauty · Services · Music · Sports · Medicine · Technology · Defense · Insurance

# INTERNATIONAL CLIENTS

USA · United Kingdom · Germany · Netherlands · Italy · France · Greece · Estonia · Australia · China · Ukraine"
9479,"**GRAPHIC DESIGNER & UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**

Graphic Designer with expertise in brand identity, digital design, and UI/UX. Skilled in creating key visuals, social media materials, and printing collateral. Experienced in leading design projects, managing junior designers, and implementing cohesive visual systems across multiple platforms. Proficient in 3D design integration and user-centered design principles.

**CORE COMPETENCIES**

Brand Identity & Logo Design • Key Visual Development • Social Media Design • Print Production & Prepress • UI/UX Design • 3D Design Integration • Team Leadership • Multi-page Layout Design • DTP

**TECHNICAL SKILLS**

**Expert:** Adobe Photoshop, Adobe Illustrator
**Proficient:** Adobe InDesign, Figma
**Working Knowledge:** Blender, After Effects

**PROFESSIONAL EXPERIENCE**

**Graphic Designer & UI/UX Designer | QA Madness**
November 2022 – Present

• Led company-wide global redesign initiative, establishing cohesive brand vision across all platforms
• Redesigned website to reflect updated brand identity and visual direction
• Developed and implemented fresh visual style for company presentations
• Overhauled social media presence across LinkedIn and Instagram with redesigned materials
• Created company page for DOU
• Integrated custom 3D design elements into visual materials

**Graphic Designer | Kronas**
August 2020 – February 2022

• Designed logos, brand identities, and supporting print collateral for new company brands
• Produced 3–6 monthly advertising key visuals for website, social media, and print campaigns
• Revitalized Instagram profile with new visual style and content approach
• Created multi-page product catalogs and brochures using InDesign
• Refreshed YouTube channel branding and designed video cover artwork
• Designed custom sticker packs for Telegram and Viber
• Developed comprehensive trade hall design including branded stands and wayfinding navigation

**Graphic Designer | Design Studio ToTop**
October 2019 – August 2020

• Delivered design solutions for clients across diverse industries
• Created logos and complete brand identity systems
• Produced outdoor advertising including roadside billboards, citylights, and vehicle branding
• Developed realistic product visualizations in Photoshop
• Designed print materials including calendars, business cards, postcards, and stickers
• Created multi-page catalogs and brochures
• Conceptualized, designed, and delivered 16-page brochure from approval to print within one working day

**EDUCATION**

**UI/UX Design Course** | Beetroot Academy
Focused on user-centered design and user experience principles

**LEADERSHIP**

Managed and mentored team of two junior designers"
16980,"**PROFESSIONAL EXPERIENCE**

**Depositphotos | Content Researcher**

Researched and developed content including curated collections and PowerPoint presentations for client advertisements, email campaigns, and direct publication on the Depositphotos website. Partnered with content managers to analyze performance metrics and inform content strategy. Coordinated advertising initiatives for influencers and major clients including Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy. Utilized Jira and CRM systems to streamline workflows. Managed localized content to maintain alignment with brand tone of voice and product style.

**Depositphotos | Contributor Relations Manager**

Identified and recruited prominent photographers across EMEA and North America. Collaborated with contributors to optimize and expand their portfolios on cloud services. Designed and facilitated training seminars for new employees.

**Teacher of English Language**

Mentored special needs students with physical and psychological requirements. Developed and implemented personalized teaching techniques and lesson plans tailored to individual student capabilities. Restructured educational processes to accommodate diverse learning needs. Built meaningful relationships with students, enabling significant academic advancement.

**Liberty Power | Door-to-Door Sales Agent**

Canvassed residential neighborhoods to market products and services to prospective customers. Communicated product features and competitive advantages to drive customer engagement. Negotiated and executed service agreements between clients and Liberty Power."
17014,"# Professional Summary

English Philology student with four years of academic experience in text editing, writing, and translation. Demonstrated expertise in social media platforms and digital content, with a focused interest in the IT sector. Highly motivated professional committed to continuous development.

## Education

**English Philology**
4 Years of Academic Study

## Skills

- Text Editing & Proofreading
- Professional Writing
- Translation
- Social Media Platform Expertise
- Digital Content Research & Analysis

## Professional Attributes

- Self-motivated learner with strong drive for professional growth
- Keen interest in contributing to IT-focused environments
- Actively engaged with emerging digital trends and technologies"
18230,"# Creative/Art Director | Graphic & UI/UX Designer

## Professional Summary

Award-caliber Creative/Art Director and Graphic & UI/UX Designer with 10+ years of international experience. Specializing in branding, marketing, advertising, and digital design, I deliver strategic visual solutions that drive measurable business growth for clients across six countries and three continents.

## Core Expertise

- Branding & Identity Development
- Marketing & Advertising Campaigns
- Graphic Design
- Web Design
- Mobile App Design
- UI/UX Design

## Key Achievements

- Conceptualized and launched 20+ distinctive brands in Ukraine
- Built successful partnerships with clients across the USA, Canada, Australia, New Zealand, Austria, and Finland
- Transformed business objectives into innovative design solutions that accelerate client growth

## Professional Philosophy

Dedicated to excellence through collaborative partnerships built on mutual respect, transparency, integrity, and reliable delivery."
18348,"# PROFESSIONAL SUMMARY

Professional website, mobile, and graphic designer with more than 6 years of commercial experience across multiple agencies. Personally contributed to the creation of more than 100 website designs, brand identities, and advertising projects. Extensive experience in UX prototyping, UI design, and motion design for desktop and mobile applications.

# SKILLS

**Design Expertise:**
• Graphic design: printed products, banners, illustrations, icons
• Web design: responsive and adaptive layouts
• Mobile design: iOS and Android platforms
• Wireframing and interactive prototyping
• Atomic design methodology
• User personas and user flow development
• HTML and CSS fundamentals

**Tools & Software:**
• Figma: team libraries, auto layout, component properties, branches
• Adobe Photoshop and Adobe Illustrator: expert proficiency
• Adobe After Effects: proficient

# CAREER OBJECTIVE

Seeking to join a collaborative team where I can contribute my artistic vision to compelling projects and make a meaningful impact on contemporary design."
26715,"# Professional Summary

Accomplished technology leader with 20 years of experience spanning web design, UI/UX, 3D graphics, animation, and product development. Founder who built and scaled a development studio to 45+ contributors while providing art direction and leading full-cycle game production.

# Professional Experience

## Chief Technology Officer & Technical Lead | Outsource Studio

- Founded and scaled development studio from inception to 45+ contributors
- Built and managed hybrid team of 25 in-office developers and 20+ freelance professionals
- Directed art vision and led cross-functional design teams

## Co-Owner | Mobile Game Studio

- Drove full-cycle game development from concept through launch
- Owned UI/UX design, visual design, animation, Unity VFX, and sound editing
- Managed stakeholder communication and all production workflows

# Core Competencies

**Leadership:** Team Building & Scaling · Art Direction · Stakeholder Communication

**Design:** UI/UX · Web Design · Visual Design · 3D Graphics · Animation

**Development:** Unity VFX · Product Development · Full-Cycle Game Production

**Additional:** Sound Editing

# Career Objective

Seeking opportunities for professional growth and leadership advancement."
26747,"# PROFESSIONAL SUMMARY

Product Designer with 6+ years of commercial experience across startups, fintech, organization management, crypto, insurance, and healthcare. Expertise in web, mobile, dashboard, and web applications. Skilled in research, hypothesis generation, wireframing, prototyping, usability testing, design system creation, and design team leadership. Focused on aligning design solutions with business objectives while following industry best practices.

# ACHIEVEMENTS

• Recipient of 8 Design Awards on Behance
• Honorable Mention, San Francisco Design Week
• Featured in Ukrainian Design The Very Best Of
• Core team member for Australia-based digital home loan product, contributing to development from concept to MVP over 1 year as part of a 3-person team
• Built comprehensive design system from scratch

# CORE COMPETENCIES

User Research & Analysis | Hypothesis Generation | Wireframing & Prototyping | Usability Testing | UI/UX Design | Design System Development | Stakeholder Communication | Team Leadership | Design Mentorship | Cross-functional Collaboration

# PROFESSIONAL EXPERIENCE

**Strategic & Design Execution**
- Lead design team of 8 members while communicating directly with stakeholders and product managers
- Conduct user and market research to inform design decisions
- Develop functionality maps, process flows, and wireframes from low to high fidelity
- Execute UI research and design across web and mobile platforms

**Collaboration & Team Development**
- Mentor junior designers through structured feedback and ongoing support
- Conduct 1-on-1 meetings to identify challenges and define improvement areas"
