,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5
6018,"# PROFESSIONAL RESUME

## Web Designer & UX/UI Designer

---

### PROFESSIONAL SUMMARY

Web and UX/UI Designer with expertise in wireframing, visual design, user research, and responsive design. Dedicated to crafting intuitive, user-centered designs that align with client objectives and user needs. Brings strong communication, collaboration, creativity, and meticulous attention to detail to every project.

---

### PROFESSIONAL EXPERIENCE

**Web Designer & UX/UI Designer**

**Children's Music School — Website Redesign**
- Conducted comprehensive website audit to evaluate strengths, weaknesses, and opportunities for improvement
- Designed detailed wireframe for redesigned landing page featuring a news block and strategic call-to-action placement
- Developed cohesive visual design aligned with brand identity, establishing consistent color scheme and typography
- Applied responsive design principles to ensure optimal user experience across all devices
- Structured intuitive navigation to enhance accessibility of key information

**Pet-Saver-Hub — Web Service for Lost and Found Animals**
- Performed user research to uncover pain points within lost and found pet search processes
- Created comprehensive user flow and wireframe centered on intuitive interface design
- Integrated interactive elements including location-based map feature for streamlined pet searches
- Designed accessible, user-friendly interface enabling efficient search functionality

---

### SKILLS

Wireframing | Visual Design | User Research | Responsive Design | UX/UI Design | User Flow Development

---

### PROFESSIONAL OBJECTIVES

- Contribute to meaningful projects that positively impact people's lives
- Collaborate with industry professionals to foster continuous growth and skill development
- Pursue challenging projects that expand creative potential
- Remain current with emerging design technologies and industry trends
- Actively gather and implement user feedback to enhance user experience"
6021,"# [NAME]
## Head of Design Department

---

### Portfolio

- 50+ Websites
- 30+ Logotypes
- 4 Mobile Apps
- 3 Games
- 1 Social Network

---

### Experience

**Facility, Kyiv — Head of Design Department**
*March 2018 – Present*

Lead and optimize design team processes across diverse project types. Develop concepts for websites, brands, and digital products. Deliver UI/UX design, animations, logo books, brand guidelines, and comprehensive brandbooks. Spearhead tender participation and represent the company at offline events.

**Kiev Smart City, Kyiv**

Conceptualized and delivered final product visualization for Kiev Smart Card. Developed dynamic city advertising concepts.

**Mastercard, Kyiv**

Created illustrations and limited edition products for the 2018 UEFA Champions League Final in Kyiv. Developed brand activation concept for Ukraine Independence Day 2018.

**Stampede Games, Kyiv**

Developed visual concepts and UI for mobile games. Created concept art for game sequel. Contributed to top-charting, featured titles:
- Evo Explores
- .projekt

---

### Recognition

- Published in Medium, MMR.ua, Cases.media, VC.ru
- Judge at CSSDA and Ukraine Creative Week
- Awwwards Judge Candidate
- Guest Lecturer at Underhub Co-working"
6026,"# PROFESSIONAL SUMMARY

Senior Product Designer with 12+ years of experience and 300+ completed projects across mobile applications, web platforms, and brand identity systems. Founded and scaled a 20-person design studio, building end-to-end operations for sales, management, hiring, and project delivery. Returned to hands-on design work to focus on craft and direct product impact. Trained in frontend development (HTML5/CSS3/TypeScript/Vue.js) and backend technologies (Python, Swift) to strengthen design-to-development collaboration.

# EXPERIENCE HIGHLIGHTS

- 300+ projects completed across 25+ industries
- 30+ products designed from scratch
- 30+ mobile applications
- 80+ websites
- 100+ logos and corporate identity systems
- 150+ students trained in UI/UX and brand design
- Speaker at Dribbble and industry design conferences

# WORK HISTORY

**NDA Project** — 2022

**Bank BVR** — UX Designer, 2021

**Hillel IT School** — UI/UX Design Teacher, 2020

**Innovation Box** — Lead Product Designer, 2020

**Ardas** — UI/UX & Brand Designer, 2019

**M2E Pro** — UI/UX & Brand Designer, 2017

**Art. Lebedev Studio** — UI/UX & Brand Designer, 2015

**Own Design Studio** — CEO & Designer, 2014

**Poster** — UI/UX & Brand Designer, 2013

**Forforce** — UI/UX & Brand Designer, 2016

**le Weekend** — UI/UX & Brand Designer, 2012

**November Design Bureau** — UI/UX & Brand Designer, 2011

**Freelance** — Graphic Designer, 2006

# EDUCATION

Master's Degree in Engineering Design
MBA (in progress)

# INDUSTRIES

eCommerce, Finance, Banking, Investments, Marketing, Social Media, Legal, Education, Software Development, NFT, Art, Automotive, Gaming, Construction, Agriculture, Food & Beverage, Fashion, Beauty, Services, Music, Dance, MMA, Medicine, Space, Adult, Sports, Technology, Defense, Insurance

# INTERNATIONAL EXPERIENCE

USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, Ukraine

# PORTFOLIO

Select work available upon request due to nondisclosure agreements."
9479,"# GRAPHIC DESIGNER | UI/UX DESIGNER

## PROFESSIONAL SUMMARY

Graphic Designer and UI/UX Designer with 5+ years of experience spanning lead design roles, prepress operations, and DTP. Specialist in key visuals, social media marketing materials, and print collateral. Skilled in logo design, brand identity development, team leadership, and 3D integration. UI/UX training from Beetroot Academy with focus on user-centered design principles.

## SKILLS

**Expert:** Adobe Photoshop, Adobe Illustrator
**Proficient:** Adobe InDesign, Figma
**Working Knowledge:** Blender, After Effects

## PROFESSIONAL EXPERIENCE

### Graphic Designer & UI/UX Designer | QA Madness
*November 2022 – Present*

- Led company-wide global redesign initiative, aligning all visual assets with updated brand vision
- Redesigned corporate website, presentations, and social media materials for LinkedIn and Instagram
- Built company presence on DOU through custom page design
- Integrated original 3D elements using Blender to elevate design work

### Graphic Designer | Kronas
*August 2020 – February 2022*

- Designed logos, brand identities, and print materials for new company brands
- Produced 3-6 advertising key visuals monthly across web, social media, and print channels
- Overhauled Instagram visual style and YouTube channel design
- Created multi-page catalogs and brochures in InDesign
- Developed custom sticker packs for Telegram and Viber
- Designed trade hall environments including branded stands and wayfinding systems

### Graphic Designer | Design Studio ToTop
*October 2019 – August 2020*

- Delivered design solutions for clients across multiple industries
- Created logos, brand identities, and realistic product visualizations
- Produced outdoor advertising including billboards, citylights, and vehicle branding
- Designed print materials: calendars, business cards, postcards, catalogs, and brochures
- Managed team of two junior designers

## EDUCATION

UI/UX Design | Beetroot Academy"
16980,"**DEPOSITPHOTOS**
**Content Researcher**

- Researched and developed content including collections and presentations for client advertising campaigns, email distribution, and publication on the official Depositphotos website
- Collaborated with content managers to analyze performance metrics and drive ongoing development initiatives
- Coordinated advertising campaigns with influencers and high-profile clients including Coca-Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy
- Managed projects and workflows using Jira and CRM systems
- Localized content to ensure alignment with brand voice and product style guidelines

**DEPOSITPHOTOS**
**Contributor Relations Manager**

- Identified and recruited prominent photographers across EMEA and North America
- Partnered with contributors to develop and enhance portfolios on cloud-based platforms
- Led training seminars for new employees

**ENGLISH LANGUAGE TEACHER**

- Mentored students with physical and psychological needs through individualized instruction
- Designed personalized teaching techniques and lesson plans tailored to individual abilities
- Adapted educational approaches to accommodate diverse learning requirements
- Built meaningful rapport with students, facilitating significant curriculum advancement

**LIBERTY POWER**
**Door-to-Door Sales Agent**

- Conducted neighborhood outreach to promote products and services to prospective customers
- Delivered compelling product presentations highlighting features and competitive advantages
- Negotiated and secured customer agreements on behalf of Liberty Power"
17014,"# RESUME

## Professional Profile

Detail-oriented English Philology student with four years of academic training in linguistics, text editing, writing, and translation. Combines strong written communication skills with extensive knowledge of multiple social media platforms and current digital trends. Highly motivated professional eager to apply linguistic expertise and digital fluency to opportunities in the IT sector.

## Education

**English Philology** | Four Years of Study

## Core Competencies

- Text Editing & Proofreading
- Writing & Content Development
- Translation
- Social Media & Platform Fluency
- Cross-Platform Content Research
- Analytical Content Evaluation

## Key Strengths

- Strong Written Communication
- Analytical & Detail-Oriented
- Quick Learner
- Driven & Adaptable"
18230,"# Creative & Art Director | Graphic & UI/UX Designer

## Professional Summary

Creative and Art Director with over 10 years of experience spanning branding, marketing, advertising, graphic design, web design, and mobile app design. Developed and launched more than 20 brands in Ukraine while serving an international clientele across six countries. Dedicated to delivering innovative solutions that drive business growth, built on a foundation of mutual respect, honesty, integrity, and punctuality.

## Core Expertise

- Brand Development & Strategy
- Marketing & Advertising Campaigns
- Graphic Design
- UI/UX Design
- Web Design
- Mobile App Design

## Key Achievements

- Developed and launched 20+ brands in Ukraine
- Delivered creative solutions for clients in the USA, Canada, Australia, New Zealand, Austria, and Finland
- Implemented innovative design concepts that effectively support business development and growth

## Location

Ukraine"
18348,"# Professional Summary

Versatile designer with over 6 years of commercial agency experience, contributing to more than 100 website designs, brand identities, and advertising projects. Specializing in UX prototyping, UI design, and motion design for desktop and mobile applications.

---

# Objective

Seeking to join a dynamic team where I can realize my potential through engaging projects and contribute meaningful artistic vision to contemporary design.

---

# Skills

**Design Disciplines**
- Graphic Design: Printed Products, Banners, Illustrations, Icons
- Web Design: Responsive and Adaptive Layouts
- Mobile Design: iOS and Android Platforms
- Motion Design

**UX/UI Expertise**
- Wireframing and Interactive Prototyping
- Atomic Design Principles
- User Personas and User Flow Development
- HTML and CSS Fundamentals

---

# Tools & Software

- **Figma:** Team Libraries, Auto Layout, Component Properties, Branches
- **Adobe Photoshop & Illustrator:** Excellent Proficiency
- **Adobe After Effects:** Confident Proficiency"
26715,"# Senior Creative Director & CTO

## Professional Summary

Versatile creative and technical leader with 20 years of experience spanning web design, UI/UX, 3D graphics, animation, and product development. Proven track record of building and scaling creative teams from the ground up while maintaining hands-on expertise across the full development lifecycle.

---

## Core Competencies

**Creative Direction** | Web Design & UI/UX | 3D Graphics & Animation | Visual Design | Unity VFX | Sound Editing

**Leadership** | Team Building & Scaling | Art Direction | Cross-Functional Collaboration | Project Coordination

**Technical** | Full-Cycle Product Development | Mobile Game Development

---

## Professional Experience

**Co-Owner & Creative Lead**
*Mobile Game Studio*

- Directed full-cycle game development from initial concept through final release
- Led UI/UX design, visual design, and animation across all studio projects
- Developed Unity VFX and oversaw sound editing production
- Coordinated cross-functional teams to ensure seamless project delivery

**Founder, CTO & Technical Lead**
*Outsource Studio*

- Founded and scaled development studio from inception to 25 office-based developers
- Cultivated and managed extended network of 20+ freelance contributors
- Provided strategic art direction and hands-on design team leadership

---

## Objective

Seeking leadership opportunities to leverage 20 years of creative and technical expertise in building high-performing teams and delivering exceptional digital products."
26747,"# Senior Product Designer

## Awards & Recognition
- 8 Design Awards on Behance
- Honorable Mention, San Francisco Design Week
- Ukrainian Design: The Very Best Of

## Professional Summary

Award-winning product designer with over 6 years of commercial experience spanning startups, fintech, organizational management, crypto, insurance, and healthcare. Expert in Web, Mobile, Dashboard, and Web application design with end-to-end capabilities—from hypothesis generation and user research through wireframing, prototyping, and usability testing to design system architecture and team leadership. Delivers design solutions that align with business objectives while upholding industry best practices.

## Key Accomplishments
- Drove an Australia-based digital home loan product from initial concept to MVP over a one-year engagement
- Architected a comprehensive design system from the ground up as part of a three-person team
- Led and managed a design team of 8 professionals

## Core Competencies

**Design Process**
- Stakeholder and product manager collaboration
- User and market research
- Functionality mapping and process flow architecture
- Low and high fidelity wireframing
- UI research and design
- Prototyping and usability testing

**Leadership & Collaboration**
- Design team leadership
- Junior designer mentorship
- One-on-one coaching to identify challenges and define growth trajectories
- Constructive feedback and team support"
