,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
6018,"As a web designer, I have experience working on projects involving website redesign and UX/UI design. One project I worked on was the redesign of the Children's Music School website, where I created a visually appealing and easy-to-navigate landing page. I conducted a thorough analysis of the existing website, created a detailed wireframe, and focused on color scheme and typography consistent with the school's brand identity.

In another project, Pet-Saver-Hub, I focused on creating a user-friendly interface for a web service project for rescuing lost and found animals. I conducted user research, created a user flow and wireframe, and incorporated interactive elements like a map feature to enhance user experience.

My skills include wireframing, visual design, user research, and responsive design. I am eager to further develop my skills in UI/UX design and contribute to impactful projects. I value communication, teamwork, creativity, and attention to detail in my work."
6021,"Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network

Facility, Kiev — Head of Design Department
Mar 2018 - Present
Organising design team process, optimisation of design flow for different project types. Developing concepts for websites, brands and other products; creating UI/UX, animations, logo books, brand guidelines and brandbooks. Taking a leading role in tenders and offline company activity.
- Publications on medium.com, mmr.ua, cases.media, vc.ru;
- Judging on CSSDA, Ukraine Creative Week. Now on the final stones to joining awwwards judge team;
- Educational lectures in Underhub co-working.

Kiev Smart City, Kiev
Work on concept and final product visualisation for Kiev Smart Card. Developing a row of dynamic city ads concepts.

Mastercard, Kiev
Creating illustrations and limited edition products for 2018 UEFA Champions League Final in Kiev, concept for brand activating program on Ukraine Independence Day 2018.

“Stampede Games”, Kiev
Worked on mobile games, developing visual concepts and UI. Creating concept arts for the second part of game.
Games that were featured and took a place on top-charts:
- Evo Explores
- .projekt"
6026,"• Over 12 years of experience in design, with a focus on creating more than 300 projects including 30 products from scratch, 30 mobile applications, 80 websites, and 100 logos and corporate styles.
• Established and managed own studio with 20 employees, developing processes for sales, management, hiring, and project creation.
• Taught over 150 students in UI/UX & brand design and presented at conferences such as Dribble.
• Holds a Master's degree in “Engineering Design” and currently pursuing an MBA.
• Experience includes roles as a UX Designer, Lead Product Designer, and UI/UX & Brand Designer in various industries such as eCommerce, Finance, Banking, Investments, Marketing, and more.
• Proficient in frontend technologies such as HTML5, CSS3, TypeScript, Vue.js, as well as backend technologies including Python and Swift.
• Worked with clients from countries including USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China & Ukraine."
9479,"- Graphic Designer with extensive experience in designing key visuals, social media marketing materials, and printing materials
- Successfully designed logos and identities for new brands
- Managed a small team of two junior designers
- Created custom sticker packs for Telegram and Viber
- Completed a UI/UX course at Beetroot Academy, enhancing skills in user-centered design and user experience
- Worked as Graphic Designer/Lead Graphic Designer and Prepress Operator/DTP Designer
- Proficient in Adobe Photoshop and Illustrator, with skills in Adobe InDesign and Figma, as well as some knowledge in Blender and After Effects

Work Experience:
1. Graphic Designer & UI/UX Designer at QA Madness (Nov 2022 - Present)
- Played a key role in the company's global redesign, significantly impacting the final result
- Redesigned website to align with new vision and style
- Implemented a fresh visual style for presentations and SMM materials on LinkedIn, Instagram, and DOU
- Introduced 3D elements into design work

2. Graphic Designer at Kronas (Aug 2020 - Feb 2022)
- Designed logos, identities, and printing materials for new brands
- Developed monthly advertising key visuals for various platforms
- Revamped the visual style of the company's Instagram profile
- Created multi-page catalogs and brochures using InDesign
- Updated the design of the company's YouTube channel and video covers
- Designed and implemented sticker packs for Telegram and Viber
- Developed the design for a new trade hall, including branding stands and navigation

3. Graphic Designer at Design Studio ToTop (Oct 2019 - Aug 2020)
- Created designs for various companies across different industries
- Designed logos, identities, and outdoor advertising materials
- Produced realistic product visualizations in Photoshop
- Developed printing materials such as calendars, business cards, postcards, and stickers
- Designed multi-page catalogs and brochures, including a project completed within a single day

Education:
- UI/UX course at Beetroot Academy"
16980,"Depositphotos | Content Researcher

Researched and created various content collections and PowerPoints for clients for advertising purposes and distribution via email or on the official Depositphotos website. Collaborated closely with content managers to analyze development and metrics. Organized advertisements for influencers and major clients such as Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy. Utilized Jira and CRM system. Ensured localized content aligned with brand tone and style.

Depositphotos | Contributor Relations Manager

Researched and identified potential photographers in EMEA and North America. Worked with contributors to enhance their portfolios on cloud services. Conducted training seminars for new employees.

Teacher of English Language

Mentored special needs students with physical or psychological challenges. Developed personalized techniques and lectures for each student. Restructured educational processes to meet individual needs and capabilities. Established personal connections with students to enhance learning and academic progress.

Liberty Power | Door-to-Door Sales Agent

Traveled to various neighborhoods to promote and sell products or services to the public. Created engaging presentations on product features and benefits. Persuaded customers to purchase products using a scripted approach and facilitated agreements between clients and Liberty Power."
17014,"Education:
- English Philology student for 4 years
Skills:
- Editing text
- Writing
- Translating
- Social media savvy
- Highly motivated and eager to learn
- Interested in pursuing a career in the IT-sphere"
18230,"Creative/Art Director, Graphic and UI/UX Designer with over 10 years of experience in Branding, Marketing, Advertising, Graphic design, Web Design, and Mobile App Design. Created more than 20 brands in Ukraine and worked with clients from USA, Canada, Australia, New Zealand, Austria, and Finland. Specialize in developing unique and innovative solutions that drive business growth. Values include mutual respect, honesty, decency, and punctuality."
18348,"Took personal part in the creation of more than 100 website designs, brand and advertising projects.

PROFESSIONAL EXPERIENCE:
- 6+ years of commercial experience in website, mobile, and graphic design in various agencies
- Extensive experience in UX prototyping, UI design, and motion design for desktop and mobile applications

SKILLS:
- Graphic design (Printed Products, Banners, Illustrations, Icons)
- Web design (Responsive, Adaptive)
- Mobile design (iOS, Android)
- Wireframes
- Interactive prototypes
- Using principles of atomic design
- Good understanding of user personas and user flows
- Understanding of the basics of HTML, CSS

TOOLS:
- Figma (team libraries, auto layout, components properties, branches)
- Excellent level of proficiency in Adobe Photoshop and Adobe Illustrator
- Confident level in Adobe After Effects

OBJECTIVE:
Seeking to be part of a strong team and contribute artistic taste to contemporary design projects."
26715,"- Over 20 years of experience in web design, UI/UX, 3D graphics, animation, and product creation
- Established and managed own outsource studio as CTO and Tech Lead, overseeing a team of 25 office developers and 20+ freelancers
- Managed art direction and design team
- Co-owner of a small mobile game studio, involved in full cycle game development including concepts, UI/UX, design, animation, Unity VFX, communication, and sound edits
- Seeking opportunities for professional growth"
26747,"• 8 Design Awards on Behance
• Honorable mention in San Francisco Design week
• Ukrainian design The very best of
• For the past 1 year, being a part of an Australia-based digital home loan product that went from the idea to MVP
• In a team of just 3 people built a design system from scratch

Over 6+ years of commercial experience, based in startups, fintech, organization management, crypto, insurance, and healthcare environment. Worked with Web, Mobile, Dashboard, and Web applications. Skilled in generating hypotheses, research, creating wireframes and prototypes, conducting usability tests, analyzing, creating a design system from scratch, and leading a design team. Collaborates with and manages other designers, works independently, pays close attention to business needs, and provides best practice design advice to improve outcomes.

Project stages:
- Communicating with stakeholders and product manager
- Conducting research
- Creating functionality map, process flow
- Creating low/high fidelity wireframes
- UI research and design
- Leading a team of 8 people

Collaboration and teamwork:
- Mentoring lower-level designers
- Conducting 1on1 meetings to collect issue points and help define personal areas of improvement
- Offering feedback and support to teammates"
